,product,link,review_count,star
0,[아모레퍼시픽] 한가위 BEST 선물세트 모음전! #설화수#헤라#프리메라#메이크온,https://www.11st.co.kr/products/2217098035?inpu=&trTypeCd=22&trCtgrNo=895019,22589,4.8
1,[더주] 유명한 말랑장족! 컷팅장족/눌린장족 100g / 주전부리 모음,https://www.11st.co.kr/products/2350103480?inpu=&trTypeCd=22&trCtgrNo=895019,12276,4.6
2,농심 대표라면 신라면20입/너구리20입/짜파게티20입/안성탕면20입/짜왕 16입,https://www.11st.co.kr/products/4689413115?inpu=&trTypeCd=22&trCtgrNo=895019,1423,4.8
3,맥심 모카/화이트골드 360T 외 모음전,https://www.11st.co.kr/products/3898502625?inpu=&trTypeCd=22&trCtgrNo=895019,3200,4.8
4,"[농할가13,610원] 제주농협 하우스감귤 2.5kg 4.5kg #로얄과 #소과",https://www.11st.co.kr/products/2423274503?inpu=&trTypeCd=22&trCtgrNo=895019,52785,4.5
5,페넬로페 기저귀 모음,https://www.11st.co.kr/products/4066101824?inpu=&trTypeCd=22&trCtgrNo=895019,676,4.8
6,[15%중복][베베쿡] 인기 유아 식품 총집합/배도라지/김/반찬/과자/간식/사르르쿵/쌀쿵,https://www.11st.co.kr/products/1929823447?inpu=&trTypeCd=22&trCtgrNo=895019,4729,4.7
7,하림 용가리치킨 300gX3봉 외 닭가슴살/튀김 골라담기,https://www.11st.co.kr/products/3278504394?inpu=&trTypeCd=22&trCtgrNo=895019,13568,4.7
8,[30%즉시할인] 페넬로페 아기물티슈 퐁피두 20팩 외 고평량 본보야지 BEST 특별전,https://www.11st.co.kr/products/1346403339?inpu=&trTypeCd=22&trCtgrNo=895019,118282,4.6
9,[기프티콘] 이마트/트레이더스 5만원권,https://www.11st.co.kr/products/4730266200?inpu=&trTypeCd=22&trCtgrNo=895019,2007,4.9
10,켈로그시리얼 2~3개구성/콘푸로스트라이트슈가530gx2개/후르트링/현미/첵스초코/그래놀,https://www.11st.co.kr/products/3988274976?inpu=&trTypeCd=22&trCtgrNo=895019,7422,4.8
11,상하목장 유기농 멸균우유 200ml 24팩외 매일유업 음료 36종 모음전,https://www.11st.co.kr/products/3839308375?inpu=&trTypeCd=22&trCtgrNo=895019,2032,4.8
12,[오늘예판마감][자급제]삼성 갤럭시 Z플립4 256GB 5G/LTE 유심호환 SM-F721N,https://www.11st.co.kr/products/4738007010?inpu=&trTypeCd=22&trCtgrNo=895019,339,4.9
13,[본사공식몰] 드시모네 국내유일 장 면역 냉장 유산균+사은품 증정,https://www.11st.co.kr/products/1424959693?inpu=&trTypeCd=22&trCtgrNo=895019,22556,4.7
14,매일유업 아몬드브리즈 190ml 24팩 (오리지널/언스위트/프로틴/초콜릿 외),https://www.11st.co.kr/products/3839290101?inpu=&trTypeCd=22&trCtgrNo=895019,15424,4.8
15,"[쿠폰가23,850원]완도 활 전복1kg 12-14미 횟감용 몸보신용 전복 특대전복+ 세척솔 증",https://www.11st.co.kr/products/2043794369?inpu=&trTypeCd=22&trCtgrNo=895019,8647,4.6
16,라텍스 니트릴장갑 100매+100매=200매 요리용 위생 일회용 요리장갑 니트릴라텍스,https://www.11st.co.kr/products/1437960267?inpu=&trTypeCd=22&trCtgrNo=895019,21828,4.6
17,[30%쿠폰] 가을시즌 오픈 씨/이사베이/베스띠벨리 원피스/블라우스/니트/스커트 100종,https://www.11st.co.kr/products/1847662397?inpu=&trTypeCd=22&trCtgrNo=895019,9906,4.4
18,[기프티콘] 이마트/트레이더스 3만원권,https://www.11st.co.kr/products/4730241117?inpu=&trTypeCd=22&trCtgrNo=895019,1015,4.9
19,"[14%+20% 쿠폰 혜택가 20,340원] 더신선 태안 자연산 활꽃게 2kg 6~10미 / 금어기 끝!",https://www.11st.co.kr/products/3001439932?inpu=&trTypeCd=22&trCtgrNo=895019,11207,4.3
20,왕타 아쿠아 어린이 칫솔 12개입 / 24개입,https://www.11st.co.kr/products/3932482677?inpu=&trTypeCd=22&trCtgrNo=895019,1869,4.7
21,[건강한 원초] 유기원초로 만든 친환경 재래 도시락김 4.5g×36봉 / 전장김 / 두번구운,https://www.11st.co.kr/products/4180540716?inpu=&trTypeCd=22&trCtgrNo=895019,1883,4.7
22,[바로생수] 스파클 생수 2L 30개,https://www.11st.co.kr/products/2619185825?inpu=&trTypeCd=22&trCtgrNo=895019,88883,4.8
23,[77%할인]간절기&가을룩/시즌오프원가이하! 대표데일리룩/원피스/가디건/블라우스/티셔,https://www.11st.co.kr/products/4799199527?inpu=&trTypeCd=22&trCtgrNo=895019,1,5
24,[본사직영] 생수 아이시스 8.0 2L/무라벨1.5L/1L/500ml/300ml/200ml,https://www.11st.co.kr/products/1792205310?inpu=&trTypeCd=22&trCtgrNo=895019,51476,4.7
25,[아가방x디어베이비] 35% 겨울 역시즌 점퍼/내의/상하복/티셔츠 外 100종,https://www.11st.co.kr/products/2818395689?inpu=&trTypeCd=22&trCtgrNo=895019,10401,4.7
26,만능 짤순이 오이지 다짜고짜 짤순이 / 밑반찬 필수템 장아찌 오이지 야채탈수기,https://www.11st.co.kr/products/3770598803?inpu=&trTypeCd=22&trCtgrNo=895019,195,4.5
27,스타벅스! 스너글 블루스파클 플러스 5L 초고농축 섬유유연제 외 탈취제/유연제 모음,https://www.11st.co.kr/products/4235049108?inpu=&trTypeCd=22&trCtgrNo=895019,671,4.8
28,스타벅스! 스너글 블루스파클 플러스 5L 초고농축 섬유유연제 외 탈취제/유연제 모음,https://www.11st.co.kr/products/4235049108?inpu=&trTypeCd=22&trCtgrNo=895019,671,4.8
29,만능 짤순이 오이지 다짜고짜 짤순이 / 밑반찬 필수템 장아찌 오이지 야채탈수기,https://www.11st.co.kr/products/3770598803?inpu=&trTypeCd=22&trCtgrNo=895019,195,4.5
30,[50매추가] 명절준비 주방필수품 지퍼락 실속 패키지,https://www.11st.co.kr/products/3771878781?inpu=&trTypeCd=22&trCtgrNo=895019,2006,4.7
31,종가집 행복이온 전라도 포기김치 10kg,https://www.11st.co.kr/products/3788671508?inpu=&trTypeCd=22&trCtgrNo=895019,442,4.6
32,[풀무원] 얇은피만두 400gx최대 12봉+ 선착순랜덤 소바or쫄면,https://www.11st.co.kr/products/3103134299?inpu=&trTypeCd=22&trCtgrNo=895019,10514,4.8
33,[기프티콘] 이마트/트레이더스 3만원권,https://www.11st.co.kr/products/4730241117?inpu=&trTypeCd=22&trCtgrNo=895019,1015,4.9
34,NEW 네오에디션 밀폐용기/이유식 용기/렌지쿡/텀블러 모음,https://www.11st.co.kr/products/2123990378?inpu=&trTypeCd=22&trCtgrNo=895019,17170,4.6
35,"[농할가16,720원] 거창군농협 햇 홍로사과 3kg 5kg #16개내 #27개내",https://www.11st.co.kr/products/3749557832?inpu=&trTypeCd=22&trCtgrNo=895019,3198,4.5
36,[아가방x디어베이비] 35% 겨울 역시즌 점퍼/내의/상하복/티셔츠 外 100종,https://www.11st.co.kr/products/2818395689?inpu=&trTypeCd=22&trCtgrNo=895019,10401,4.7
37,KF94 올국산 비움 오나미 에코브리즈 마스크 100매 에코프로 플러스 새부리형 대형 화,https://www.11st.co.kr/products/3809546339?inpu=&trTypeCd=22&trCtgrNo=895019,30885,4.6
